TestID,TrainID,"[m,b]","(x,y)",Prediction
6941,9268,"[1, 0]","(train,test)",200291280469622706
7012,123758,"[1, 99]","(train,test)",151
7061,78261,"[2, 1]","(train,test)",63961
7062,192953,"[12, 0]","(train,test)",70368744112128
7076,197498,"[3, 0]","(test,train)",10072.0
7247,77868,"[1, 0]","(train,test)",256
7258,11021,"[1, 1]","(train,test)",76
7360,190185,"[1, 1]","(train,test)",107
7400,15722,"[2, -1]","(train,test)",8641
7427,185402,"[1, 1]","(train,test)",8589934626
7534,1182,"[16, 63]","(train,test)",5503
7539,29580,"[19, -18]","(train,test)",17158
7565,180448,"[1, 1]","(train,test)",597
7602,179874,"[2, -8]","(test,train)",1.0968475320188928e+16
7607,20564,"[12, 1]","(train,test)",27145
7670,108417,"[289, -4063]","(train,test)",314704
7711,168999,"[1, 0]","(train,test)",41208936343729
7757,24406,"[-1, 1]","(train,test)",0
7827,15722,"[2, 3]","(test,train)",1803.0
7878,3587,"[1, 0]","(train,test)",1741769316989023076352
7896,85087,"[1, 12]","(train,test)",92
7995,42537,"[4, -1]","(train,test)",363
8077,109759,"[1, 0]","(train,test)",118
8078,12120,"[1, 0]","(train,test)",34406400000000000000
8109,203,"[1, 2]","(train,test)",1
8116,127776,"[2, -3]","(test,train)",66484134834183.0
8190,19294,"[14, -112]","(train,test)",24696
8244,148665,"[1, 3]","(train,test)",245
8249,11261,"[6, -4]","(test,train)",1.5009463529699914e+17
8254,20389,"[1, 0]","(train,test)",1129718145924
8265,80894,"[1, 2]","(train,test)",110
8286,19294,"[100, -790]","(train,test)",122510
8397,38848,"[2, 0]","(train,test)",23166
8401,1214,"[78, 1495]","(train,test)",3133
8460,85633,"[-1, 2]","(train,test)",1
8474,5966,"[1, 0]","(train,test)",19599665578316398592
8484,8883,"[1, 0]","(train,test)",5279714475068333490176
8517,5149,"[1, -3]","(train,test)",6
8551,128770,"[1, 0]","(train,test)",601
8678,96136,"[2, 0]","(test,train)",78125.0
8710,138323,"[1, 16384]","(train,test)",32221
8725,106988,"[16, 0]","(train,test)",7392
8780,318,"[11, 56]","(train,test)",1049041748046876
8788,190275,"[1, 1]","(train,test)",2342
8792,1214,"[142857, 2857140]","(train,test)",3571425
8799,136135,"[2, -5]","(test,train)",4658.0
8909,108832,"[2, 0]","(train,test)",194688
8953,53488,"[1, -1]","(train,test)",46912487729835
9040,5544,"[1, 0]","(train,test)",7121453984059539456
9058,17770,"[1, 0]","(train,test)",6311523942644393705472
9084,194206,"[1, -1]","(train,test)",56354
9131,1214,"[9, 172]","(train,test)",478
9257,12120,"[1, 0]","(train,test)",34406400000000000000
9439,29016,"[2, -3]","(train,test)",2863311531
9497,88708,"[2, 1]","(train,test)",172186883
9500,49278,"[30, -13]","(train,test)",408936947
9548,199375,"[1, 0]","(train,test)",839265188017740
9554,16508,"[243, -27]","(train,test)",8489664
9587,217723,"[1, 0]","(train,test)",1597440868898
9645,78243,"[1, 0]","(train,test)",2958
9665,52839,"[1, 0]","(train,test)",129859329600
9716,9976,"[1, -1]","(train,test)",1
9753,227112,"[2, 0]","(test,train)",2.0
9788,1997,"[2, -1]","(train,test)",9571
9798,195022,"[1, 0]","(train,test)",2
9812,90671,"[-4194304, 4194304]","(train,test)",16985107389382393856
9839,963,"[10, 161]","(train,test)",8601
9887,1214,"[729, 14382]","(train,test)",26046
10168,62416,"[1, -1]","(train,test)",188
10267,5703,"[1, 0]","(train,test)",5
10283,26307,"[1, 2]","(train,test)",96
10445,973,"[1, 1]","(train,test)",4558
10449,20389,"[1, 0]","(train,test)",1129718145924
10452,24336,"[1, 0]","(train,test)",351829430966702353416192
10454,963,"[1, -3]","(train,test)",981
10501,115040,"[4, 0]","(train,test)",115200
10520,40136,"[1, 0]","(train,test)",110000000000000000
10521,53098,"[2, -2]","(test,train)",1081081.0
10536,112009,"[1, 0]","(train,test)",2056
10539,165398,"[1, 0]","(train,test)",14906
10566,19978,"[60, 330]","(train,test)",98430
10732,5880,"[4, -1]","(test,train)",67.0
10792,87627,"[1, 0]","(train,test)",95
10813,205550,"[10, -9]","(train,test)",41
10832,162042,"[1, 1]","(train,test)",22
10859,183585,"[1, -3]","(train,test)",6585451
10923,33040,"[4, 0]","(train,test)",5940
10984,1214,"[153, 2925]","(train,test)",5985
11014,194389,"[1, 0]","(train,test)",1
11034,185924,"[1, 0]","(train,test)",1
11071,121027,"[1, 0]","(train,test)",1220
11112,318,"[1, 6]","(train,test)",476837158203126
11176,1817,"[1, 6]","(train,test)",2147483654
11222,29580,"[7, -7]","(train,test)",6622
11230,1214,"[-1, -11]","(train,test)",-51
11251,116856,"[2, -3]","(train,test)",1
11307,196316,"[210, 13]","(train,test)",15973
11345,27803,"[4, 1]","(train,test)",6778308875545
11363,84292,"[1, 1]","(train,test)",1270932914161
11398,26054,"[1, 2]","(train,test)",7363
11401,112914,"[1, 1]","(train,test)",1
11445,157963,"[10, 1]","(train,test)",10000000000000001
11486,24021,"[1, 0]","(train,test)",196
11558,104639,"[2, 6]","(test,train)",4294967360.0
11607,161574,"[1, 1]","(train,test)",111111111111111111111111111111111111111111111111111111111112
11611,5966,"[1, 0]","(train,test)",19599665578316398592
11788,189191,"[6, -3]","(train,test)",2251799813685255
11798,1644,"[1, 0]","(train,test)",2333521433367183360
11848,176592,"[2, 2]","(train,test)",3710155684
11908,26333,"[2, -1]","(train,test)",6487
11926,1817,"[48, -16]","(train,test)",51539607536
11982,46210,"[4, 3]","(train,test)",2034239
11992,14452,"[2, -1]","(train,test)",35184372088831
12009,142212,"[1, -1]","(train,test)",137
12037,8682,"[2, 0]","(train,test)",448
12086,184600,"[3, 0]","(train,test)",367604681920575
12089,50139,"[1, 2]","(train,test)",166
12252,8883,"[1, 0]","(train,test)",5279714475068333490176
12302,43955,"[2, -1]","(train,test)",135
12338,15478,"[168, 112]","(train,test)",26054617566567184
12388,186075,"[1, 1]","(train,test)",2586559730396078
12407,27377,"[1, 0]","(train,test)",492
12415,1214,"[28, 533]","(train,test)",1373
12509,186446,"[1, -14]","(train,test)",1187
12546,126485,"[1, 0]","(train,test)",243
12550,197684,"[1, 0]","(train,test)",8
12674,29580,"[1729, -1728]","(train,test)",912913
12727,103541,"[2, 2]","(train,test)",327580
12752,11242,"[1, 0]","(train,test)",572204589843750
12848,31642,"[1, 1]","(train,test)",326
12892,58942,"[1, 1]","(train,test)",77
12921,16952,"[2, 2]","(train,test)",172535142544
12930,1182,"[64, -255]","(train,test)",18433
12933,94027,"[1, 3]","(train,test)",165580141
13019,1214,"[1, -6]","(train,test)",35
13039,97871,"[3, 1]","(train,test)",184336
13095,29580,"[4, -5]","(train,test)",5099
13099,78202,"[8, 0]","(train,test)",175840
13111,91419,"[1, 4]","(train,test)",2147483741
13129,115159,"[2, 0]","(test,train)",564825518530.0
13246,205641,"[4, 0]","(train,test)",499988
13274,12447,"[2, -4]","(test,train)",1433.0
13288,4259,"[2, -1]","(test,train)",332928.0
13357,50324,"[2, 3]","(train,test)",9723892802903
13410,1683,"[1, 0]","(train,test)",87960930222080
13432,42984,"[1, 1]","(train,test)",1760
13469,206848,"[1, 4096]","(train,test)",4358
13522,208161,"[2, 23]","(test,train)",2385.0
13544,73226,"[-19683, 19683]","(train,test)",406671383849472
13562,33283,"[1, 0]","(train,test)",42
13592,115688,"[3, 3]","(train,test)",11664
13647,117055,"[6, 0]","(train,test)",36845653286788892983296
13648,219219,"[1, 0]","(train,test)",5819
13687,49001,"[1, -1]","(train,test)",107
13739,177661,"[1, -2]","(train,test)",-4661299497
13921,42380,"[1, 1]","(train,test)",1
14061,85198,"[2, 0]","(train,test)",3068748094479108
14086,1280,"[0, 31]","(train,test)",31
14093,52685,"[1, 0]","(train,test)",39270
14097,88331,"[1, -1]","(train,test)",136
14173,114601,"[1, 0]","(train,test)",367
14293,119330,"[1, 1]","(train,test)",1000
14308,1644,"[1, 0]","(train,test)",2333521433367183360
14471,6208,"[2, -1]","(train,test)",1506290861217
14575,8028,"[1, 0]","(train,test)",13027308783283592
14659,220023,"[1, 0]","(train,test)",68
14714,75593,"[1, -1]","(train,test)",18059374
14715,25422,"[1, 1]","(train,test)",1460
14728,90671,"[-362797056, 362797056]","(train,test)",36279705600000000000
14796,19294,"[49, -392]","(train,test)",47089
14835,184642,"[1, 3]","(train,test)",5167382531
14840,105476,"[2, 0]","(test,train)",95.0
14976,10757,"[9, -111108]","(train,test)",23415
14977,176783,"[1, -1]","(train,test)",536189
15028,91013,"[1, 0]","(train,test)",78
15081,53488,"[3, -5]","(train,test)",140737463189503
15178,41092,"[2, 0]","(train,test)",144115188074807296
15230,11225,"[5, 0]","(test,train)",1.0
15243,189542,"[18, 1]","(train,test)",14887
15265,133065,"[2, 2]","(test,train)",80313433199.0
15301,153583,"[1, -1]","(train,test)",2083
15354,197961,"[2, 0]","(test,train)",1.0
15361,200400,"[1, 2]","(train,test)",110
15382,41118,"[1, 1]","(train,test)",476826695752771
15412,143457,"[1, -1]","(train,test)",126356632390297
15463,59504,"[1, -1]","(train,test)",25626
15490,48671,"[1, 2]","(train,test)",8146
15608,17145,"[-8, 16]","(train,test)",8
15635,8470,"[-1, 8]","(train,test)",4
15683,83599,"[-1, 5]","(train,test)",4
15718,4445,"[1, 16807]","(train,test)",17191
15724,35386,"[2, 0]","(train,test)",48
15729,30137,"[504, 8]","(train,test)",2417851639229258349412352
15793,108998,"[1, 1]","(train,test)",113
15837,185158,"[2, 0]","(train,test)",90
15969,78512,"[1, 0]","(train,test)",12321
16104,65827,"[1, 2]","(train,test)",4294967298
16207,121201,"[1, 0]","(train,test)",69
16217,20165,"[1, 0]","(train,test)",125
16239,80388,"[1, -1]","(train,test)",0
16278,93576,"[2, 0]","(train,test)",71585134
16286,20927,"[2, 0]","(train,test)",26520
16335,7306,"[2, 3]","(train,test)",57121
16404,19294,"[10, -79]","(train,test)",17641
16428,177455,"[720, 719]","(train,test)",427517999
16440,12120,"[1, 0]","(train,test)",34406400000000000000
16441,8859,"[1, 0]","(train,test)",3221225472
16476,90390,"[2, 0]","(train,test)",4
16499,11242,"[1, 0]","(train,test)",572204589843750
16659,25876,"[2, -2]","(train,test)",35184380477438
16664,86476,"[1, 9000000000]","(train,test)",9162573480
16710,139744,"[5618, -1]","(train,test)",5804169283
16712,17639,"[2, 0]","(train,test)",4266
16912,11242,"[1, 0]","(train,test)",572204589843750
16927,76246,"[12, -12]","(train,test)",1184832
16951,19294,"[121, -957]","(train,test)",139887
16983,175642,"[1, -1]","(train,test)",2792
17175,206668,"[1, 1]","(train,test)",219
17196,175408,"[2, 0]","(train,test)",13466750
17238,66165,"[1, -2]","(train,test)",652550
17380,196798,"[2, 0]","(train,test)",1258884
17441,144608,"[5, -4]","(test,train)",3784.0
17445,17770,"[1, 0]","(train,test)",6311523942644393705472
17480,20559,"[4, 0]","(train,test)",28564300215372
17492,1214,"[1729, 32851]","(train,test)",57057
17493,88148,"[1, 1]","(train,test)",221631
17501,1214,"[90, 1719]","(train,test)",3969
17614,196031,"[1, 0]","(train,test)",134
17621,87277,"[1, 1]","(train,test)",16
17638,164836,"[4, 1]","(train,test)",6241
17640,11211,"[1, 4096]","(train,test)",4208
17694,43958,"[1, 0]","(train,test)",8
17721,1872,"[64, 0]","(train,test)",22483074023424
17726,182778,"[-1, 3]","(train,test)",1
17761,170310,"[2, 0]","(train,test)",52
17776,62167,"[1, 1]","(train,test)",104
17822,91503,"[4, 6]","(train,test)",230
18053,92428,"[10, -7]","(train,test)",58640620148053
18200,94695,"[4, 0]","(test,train)",70086339807006.0
18219,179271,"[1, 0]","(train,test)",22661
18247,65185,"[2, 1]","(train,test)",33
18260,107142,"[1, 1]","(train,test)",100
18264,190644,"[4, 1]","(train,test)",11258250133505
18280,558,"[1, 0]","(train,test)",38959523483674573012992
18288,184485,"[1, -3]","(train,test)",4563402750
18318,185595,"[9, 0]","(train,test)",63333317666664
18458,2702,"[2, -2]","(train,test)",284
18526,25738,"[3, -3]","(test,train)",161.0
18531,76344,"[1, -2]","(train,test)",395
18546,12024,"[9, -9]","(train,test)",63
18612,10344,"[-1728, 1728]","(train,test)",18399744
18618,58324,"[1, 1]","(train,test)",4749511753491300
18669,91503,"[2, 2]","(train,test)",130
18686,125482,"[1, 1]","(train,test)",1143072
18724,10873,"[1048576, 0]","(train,test)",17490122876598091776
18796,95432,"[1, 1]","(train,test)",3564
18809,74653,"[1, 2]","(train,test)",829180295191
18869,116155,"[2, -3]","(train,test)",69169
18889,107666,"[1, 1]","(train,test)",3
18905,10757,"[9, 1023333336]","(train,test)",1023459768
19082,166367,"[2, 1]","(train,test)",279
19139,83523,"[3, 1]","(train,test)",28
19239,61122,"[1, 1]","(train,test)",72
19386,113858,"[1, -1]","(train,test)",0
19424,129819,"[6, -6]","(test,train)",2225.0
19434,109926,"[1, -1]","(train,test)",125
19476,27587,"[1, 0]","(train,test)",4265518180073472
19521,57328,"[6, -2]","(train,test)",16
19523,33233,"[1, 6]","(train,test)",613
19556,28990,"[1, 0]","(train,test)",27514634240000000000000
19560,58201,"[3, 2]","(train,test)",1072883605957031
19624,131916,"[-2, 4]","(train,test)",-12
19667,64464,"[2, 1]","(train,test)",1267
19693,169837,"[5, 4]","(train,test)",1289
19868,951,"[1, 0]","(train,test)",0
19915,7470,"[-1, 0]","(train,test)",-65
19924,213322,"[3, -3]","(test,train)",162.0
19934,104749,"[1, -1]","(train,test)",0
19983,5669,"[1, 0]","(train,test)",104255099738019625697280
20007,2250,"[4, 0]","(train,test)",44444444444444444
20008,57834,"[4, 8]","(train,test)",344373768
20152,223443,"[2, 2]","(train,test)",2378380
20181,65330,"[1, 0]","(train,test)",16061
20258,102568,"[2, 0]","(train,test)",83137223185370
20320,121010,"[1, 1]","(train,test)",8
20376,47555,"[1, 1]","(train,test)",4418
20472,141559,"[2, 0]","(test,train)",608000.0
20575,131405,"[1, 0]","(train,test)",2592
20587,110326,"[1, -1]","(train,test)",6441
20639,103167,"[11, 0]","(train,test)",7887
20695,27587,"[1, 0]","(train,test)",4265518180073472
20792,3418,"[1, 0]","(train,test)",414
20799,8028,"[1, 0]","(train,test)",13027308783283592
20806,42992,"[1, 1]","(train,test)",3584
20829,128330,"[1, 1]","(train,test)",2223
20833,159355,"[1, -1]","(train,test)",3579139411
20930,161790,"[1024, 0]","(train,test)",2113922820157210624
21002,54439,"[1, 0]","(train,test)",0
21087,102636,"[3, -2]","(train,test)",3076
21145,1182,"[2, 0]","(test,train)",234.0
21154,1214,"[1, -11]","(train,test)",30
21169,125220,"[2, 0]","(train,test)",4954
21233,101916,"[1, 1]","(train,test)",609634617917440
21253,40567,"[1, 1134]","(train,test)",2416018618
21260,1817,"[24, 10]","(train,test)",3221225482
21266,24476,"[81, 0]","(train,test)",81
21315,2930,"[1, -1]","(train,test)",6616
21372,98119,"[1, 3]","(train,test)",5196521107675035
21440,102067,"[1, 0]","(train,test)",89
21541,16508,"[72, -8]","(train,test)",3241792
21543,40841,"[3, 1]","(train,test)",1039
21596,106930,"[1, -6]","(train,test)",19
21613,28412,"[1, 0]","(train,test)",162129586585337820
21654,124802,"[1, -1]","(train,test)",94126401612
21655,144765,"[1, 1]","(train,test)",119089041053697
21662,116468,"[1, -1]","(train,test)",168109033806481104
21772,188755,"[2, 1]","(train,test)",1007
21853,5836,"[1, -1]","(train,test)",3452271214392
21919,4837,"[1, -1]","(train,test)",2305843009213693952
21925,15759,"[1, 0]","(train,test)",281
21986,222160,"[3, 0]","(test,train)",3.702985785847484e+20
22028,1683,"[1, 0]","(train,test)",87960930222080
22042,175894,"[13, -12]","(train,test)",8737
22046,1214,"[21, 400]","(train,test)",988
22058,96168,"[1, 0]","(train,test)",102
22067,1817,"[30, -10]","(train,test)",16106127350
22072,122961,"[3, -2]","(train,test)",751
22092,54268,"[1, -8]","(train,test)",96631269
22126,167595,"[1, 0]","(train,test)",1747
22149,15621,"[4, 0]","(test,train)",200222.0
22151,70048,"[1, 0]","(train,test)",330
22190,146539,"[2, -3]","(test,train)",277.0
22205,166654,"[2, 0]","(train,test)",228514
22245,29580,"[25, -20]","(train,test)",18530
22275,1694,"[6, 0]","(train,test)",128074872240
22349,137904,"[1, -1]","(train,test)",12361
22373,1683,"[1, 0]","(train,test)",87960930222080
22380,89789,"[12, 1]","(train,test)",139129
22436,91503,"[4, 4]","(train,test)",228
22568,108417,"[3, -45]","(train,test)",6624
22569,1182,"[3, -5]","(train,test)",1207
22585,1214,"[10, 190]","(train,test)",530
22614,95319,"[2, -2]","(train,test)",15680
22629,192815,"[-2, 5]","(train,test)",1
22721,28201,"[3, 3]","(train,test)",1828079220031488
22737,558,"[1, 0]","(train,test)",38959523483674573012992
22766,155903,"[1023, 0]","(train,test)",7582212353463
22794,131976,"[1, 0]","(train,test)",45
22890,186026,"[2, -1]","(train,test)",137
22947,173885,"[4, 0]","(train,test)",3348900
22955,59212,"[2, -2]","(test,train)",1024.0
23021,3587,"[1, 0]","(train,test)",1741769316989023076352
23025,204456,"[1, -1]","(train,test)",3438
23043,11994,"[1, 0]","(train,test)",1764
23051,81332,"[-1, 9]","(train,test)",9
23064,1214,"[961, 19221]","(train,test)",33636
23090,1817,"[216, -28]","(train,test)",7247757284
23132,19294,"[61, -488]","(train,test)",79056
23171,17609,"[6, 0]","(test,train)",2.3058430091063198e+19
23189,168854,"[1, 0]","(train,test)",5
23329,186074,"[1, 2]","(train,test)",7881198
23495,223696,"[1, -1]","(train,test)",561
23665,108180,"[2, 2]","(train,test)",14005576
23704,29580,"[200, -179]","(train,test)",119021
23734,32309,"[2, 0]","(test,train)",9.411604119239566e+16
23794,19294,"[441, -3507]","(train,test)",451605
23841,41383,"[1, 1]","(train,test)",21451
23854,1214,"[7, 139]","(train,test)",384
23995,162815,"[1, -1]","(train,test)",5304
24065,766,"[1, 0]","(train,test)",291
24069,27462,"[-2, 4]","(test,train)",1.0
24235,159733,"[6, 0]","(train,test)",156420
24332,189049,"[1, -3]","(train,test)",18816
24340,101579,"[3, 0]","(train,test)",12
24423,50057,"[2, 1]","(train,test)",70274609387445
24456,9356,"[1, -2]","(train,test)",6084438699
24477,59982,"[5, 0]","(train,test)",36095
24489,122361,"[92, 0]","(test,train)",11100000111.0
24493,58079,"[1, -28]","(train,test)",2373
24640,15759,"[1, 66339]","(train,test)",66548
24691,54439,"[1, 0]","(train,test)",0
24742,1644,"[1, 0]","(train,test)",2333521433367183360
24798,74346,"[6, 5]","(train,test)",69983
24850,18589,"[6, -5]","(train,test)",12097
24859,10097,"[2, -13]","(test,train)",24157823.0
24862,12120,"[1, 0]","(train,test)",34406400000000000000
24871,123032,"[2, 19]","(train,test)",307
24876,104,"[1, -3]","(train,test)",2
24893,165534,"[1, 1]","(train,test)",186
24984,1126,"[2, 0]","(train,test)",49076
25067,43689,"[1, 0]","(train,test)",983
25101,49874,"[1, 0]","(train,test)",41
25186,80081,"[1, -1]","(train,test)",1434
25407,114453,"[1, 0]","(train,test)",127942640917705
25560,127491,"[1, -2]","(train,test)",776159
25565,39923,"[23, 2]","(train,test)",7753
25656,24021,"[1, 0]","(train,test)",196
25773,112751,"[5, 0]","(train,test)",470
25788,126297,"[1, -2]","(train,test)",786
25824,111940,"[2, 0]","(test,train)",6441.0
25834,223376,"[1, 1]","(train,test)",6
25868,12262,"[1, 0]","(train,test)",525893003079214694400
25902,87501,"[1, 1]","(train,test)",157
25917,7301,"[7, 0]","(test,train)",5538821761599.0
25948,12262,"[1, 0]","(train,test)",525893003079214694400
25971,403,"[8984250, 2515920]","(train,test)",182200920
25981,83472,"[1, 1]","(train,test)",4076863488
26024,430,"[1, 1024]","(train,test)",1166
26094,213345,"[10, 1]","(train,test)",12111
26101,148317,"[5, 2]","(test,train)",1.0472279279564024e+16
26111,176760,"[1, 0]","(train,test)",104857
26145,27073,"[9, -7]","(train,test)",14348
26306,132521,"[1, 0]","(train,test)",1382
26355,184296,"[4, 0]","(train,test)",8272908
26375,76739,"[2, 1]","(test,train)",0.0
26391,26333,"[54, -40]","(train,test)",102074
26395,9268,"[1, 0]","(train,test)",200291280469622706
26405,53121,"[-1, 9]","(train,test)",8
26474,172363,"[2, 0]","(train,test)",67496592284
26487,108417,"[4, -59]","(train,test)",8461
26565,99534,"[1, -4]","(train,test)",14617
26649,28990,"[1, 0]","(train,test)",27514634240000000000000
26656,167636,"[8, 0]","(train,test)",262144
26686,46431,"[1, -2]","(train,test)",258
26783,42721,"[27, 0]","(train,test)",3176523
26833,2587,"[48, -48]","(train,test)",861696
26873,1644,"[1, 0]","(train,test)",2333521433367183360
26924,8170,"[2, -1]","(train,test)",3
26958,9881,"[6, -7]","(train,test)",587
27079,104639,"[2, 4]","(test,train)",2147483711.0
27086,109396,"[9, 1]","(test,train)",4.502839055035769e+17
27088,8028,"[1, 0]","(train,test)",13027308783283592
27096,68089,"[2, 0]","(train,test)",16466861455200
27105,36209,"[2, 0]","(train,test)",2618880
27170,108417,"[74, -1037]","(train,test)",95903
